ministry_department_code,department_name_raw,institution
1610,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1609,"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ, ΑΡΧΕΙΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)",ΔΙ.ΠΑ.Ε.
1615,ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1634,ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙ.ΠΑ.Ε.,ΔΙ.ΠΑ.Ε.
1627,ΔΗΜΙΟΥΡΓΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ),ΔΙ.ΠΑ.Ε.
1603,ΔΙΟΙΚΗΣΗΣ ΕΦΟΔΙΑΣΤΙΚΗΣ ΑΛΥΣΙΔΑΣ (ΚΑΤΕΡΙΝΗ),ΔΙ.ΠΑ.Ε.
1605,"ΔΙΟΙΚΗΣΗΣ ΟΡΓΑΝΙΣΜΩΝ, ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΤΟΥΡΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)",ΔΙ.ΠΑ.Ε.
1635,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1613,ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1626,ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1606,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1614,ΜΑΙΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1624,ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1623,ΜΗΧΑΝΙΚΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1625,ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1622,"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ, ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΣΕΡΡΕΣ)",ΔΙ.ΠΑ.Ε.
1620,ΜΗΧΑΝΙΚΩΝ ΤΟΠΟΓΡΑΦΙΑΣ ΚΑΙ ΓΕΩΠΛΗΡΟΦΟΡΙΚΗΣ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1619,ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1618,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
1602,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1601,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1621,ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΣΕΡΡΕΣ),ΔΙ.ΠΑ.Ε.
1616,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),ΔΙ.ΠΑ.Ε.
